# cumulative flux      cumulative relative flux      alpha=0.500000
0    0.000011106783    0.153485047743
1    0.000017892465    0.247256640842
2    0.000024188919    0.334267568711
3    0.000029708015    0.410536164727
4    0.000033734503    0.466178350960
5    0.000037202711    0.514105649494
6    0.000040645594    0.561682976254
7    0.000043856076    0.606048758011
8    0.000046275236    0.639479213977
9    0.000048611990    0.671770912170
10    0.000050651583    0.699956120943
11    0.000052634868    0.727363211310
12    0.000054578087    0.754216622773
13    0.000056445485    0.780022259000
14    0.000058288847    0.805495760711
15    0.000060098568    0.830504360574
16    0.000061847602    0.854674316890
17    0.000063219260    0.873629313397
18    0.000064177999    0.886878165119
19    0.000065128393    0.900011689222
20    0.000066074252    0.913082553932
21    0.000067011176    0.926029947038
22    0.000067931028    0.938741419602
23    0.000068813665    0.950938603928
24    0.000069675153    0.962843548019
25    0.000070484092    0.974022304127
26    0.000071186232    0.983725194274
27    0.000071752317    0.991547955646
28    0.000072013183    0.995152860796
29    0.000072181375    0.997477122870
30    0.000072250454    0.998431720743
31    0.000072290085    0.998979378061
32    0.000072304904    0.999184174520
33    0.000072318821    0.999376488314
34    0.000072330074    0.999531994678
35    0.000072340847    0.999680862070
36    0.000072347352    0.999770764233
37    0.000072352951    0.999848135426
38    0.000072358313    0.999922235266
39    0.000072363531    0.999994342967
40    0.000072363941    1.000000000000
