Source,Target,Weight,Type,Energy,t,j,f,fe
172,1,0.173230804269,directed,None,0.0346461608539,-15.6593722517,5.15716829594e-10,6.31125367947e-15
355,1,0.187281849539,directed,None,0.0374563699078,-19.496359181,4.29079671668e-10,2.74877736278e-13
1,372,0.185321295342,directed,None,0.0370642590683,-6.24102586501,1.65785058774e-09,1.31930535446e-12
463,1,0.207377410975,directed,None,0.041475482195,-29.5606145458,2.38727599118e-10,1.01092894594e-13
1,614,0.0168239002565,directed,None,0.0033647800513,34.2119019781,1.50453388735e-10,6.4856170944e-14
1,678,0.136330340546,directed,None,0.0272660681091,4.60690628549,1.2198639741e-09,1.27438373847e-12
824,1,0.115634649198,directed,None,0.0231269298396,7.48663128737,1.77589701944e-09,2.78929409729e-12
845,1,0.0554839854497,directed,None,0.0110967970899,16.288040296,1.71931869642e-09,1.77716919235e-12
1,877,0.199387433517,directed,None,0.0398774867035,-9.30100853276,1.78447911051e-09,2.29019989849e-12
25,2,0.066651183742,directed,None,0.0133302367484,4.95250965718,1.22943678564e-05,2.33912821145e-08
150,2,0.189186751685,directed,None,0.0378373503371,-5.46437493697,5.91967297789e-06,8.51543802854e-08
2,226,0.0833950838589,directed,None,0.0166790167718,5.22844986825,6.10570363847e-06,1.3595812393e-08
2,401,0.127548039918,directed,None,0.0255096079837,2.32875454114,9.3854997276e-06,9.53130286347e-08
439,2,0.187250216763,directed,None,0.0374500433526,-2.92230913848,8.67682158643e-06,3.35172878435e-08
2,480,0.185455952613,directed,None,0.0370911905226,-4.17988280664,1.36569356098e-05,1.54916629584e-07
650,2,0.152069502846,directed,None,0.0304139005692,1.25100826998,1.36493461812e-05,1.00848373821e-07
744,2,0.088277593446,directed,None,0.0176555186892,4.50990249034,1.4375187294e-05,2.64585383207e-08
792,2,0.180577241656,directed,None,0.0361154483312,-3.34070833793,7.81222241973e-06,2.59485352773e-08
2,815,0.0832558796658,directed,None,0.0166511759332,5.7341369388,6.1002111382e-06,2.09964440215e-08
2,952,0.113144073827,directed,None,0.0226288147655,2.60655916333,8.27871971986e-06,1.04964830321e-08
33,3,0.119115999858,directed,None,0.0238231999716,5.37561826604,1.77243019329e-08,4.03457769162e-09
