Source,Target,Weight,Type,Energy,t,j,f,fe
3540,435,0.0894305253366,directed,None,None,7.81346199191e-38,1.5189204127e-45,9.18718209119e-58
1647,1408,0.000952425997958,directed,None,None,8.8385359209e-40,1.550078722e-55,2.82111470004e-56
1008,2543,0.151783819555,directed,None,None,2.16336624257e-46,1.2807420155e-42,1.3859551947e-52
339,335,0.00394481589735,directed,None,None,-3.60954488614e-55,1.06972889128e-42,4.81128449047e-43
3810,2302,0.000851648968736,directed,None,None,2.00905776356e-45,1.21418520697e-41,1.34218040305e-47
421,933,0.138092641679,directed,None,None,4.30953275975e-36,5.92745482492e-43,5.06721076092e-56
764,273,0.016311076776,directed,None,None,6.23718731198e-38,9.02415012172e-46,7.33377640694e-58
2930,1357,2.95208794752e-06,directed,None,None,6.04278119788e-55,7.52504944609e-51,1.28903832871e-51
1796,1787,0.0120937603639,directed,None,None,-2.36441131852e-55,4.95370830217e-51,1.28599005845e-52
2549,3962,0.0296031845499,directed,None,None,5.71069279918e-49,4.16187880235e-45,1.75952931101e-57
2677,600,2.81831411343e-05,directed,None,None,-9.02212555848e-51,6.07232502603e-39,2.47563633595e-46
1034,855,0.00273782123306,directed,None,None,-4.08052502144e-42,5.0001415228e-47,4.3370310121e-47
1376,1404,0.000397167638627,directed,None,None,2.56981191404e-40,8.13887108552e-48,8.63097356089e-54
1046,1189,0.0451122620828,directed,None,None,3.63286626876e-40,1.84975264769e-46,4.27154316816e-60
605,313,0.123573951981,directed,None,None,8.13289414257e-38,3.31283625457e-44,9.56285409845e-58
630,1376,0.1534285059,directed,None,None,1.08080424154e-37,3.12919491533e-45,7.29962601474e-53
2323,1189,0.10407287385,directed,None,None,2.2823687974e-38,7.21986343903e-46,2.68364267382e-58
2329,3692,0.0145814431752,directed,None,None,2.71062126396e-49,1.58838126442e-45,8.35173621298e-58
189,36,0.0286705159925,directed,None,None,3.68100634483e-41,3.35120870548e-47,1.09322066313e-47
36,101,0.00174275707369,directed,None,None,-1.62169293517e-40,5.9023153244e-47,2.20269624675e-47
26,340,0.131311619986,directed,None,None,1.20950975001e-39,8.89532614626e-47,8.76592461383e-50
341,429,0.114298641758,directed,None,None,4.21775073154e-41,2.9397731164e-47,2.71025645618e-51
666,390,0.0282696856584,directed,None,None,6.02713491426e-38,4.09181688574e-44,7.08677466016e-58
37,216,0.114551936317,directed,None,None,2.63485449598e-40,8.03496957637e-57,3.48741062532e-59
224,216,3.38703529994e-08,directed,None,None,-4.42213608209e-37,2.27543016223e-54,4.74260428582e-56
233,1647,2.20576918846e-08,directed,None,None,-6.4444174946e-40,4.83921819598e-55,2.82111470004e-56
2641,1014,0.11295143803,directed,None,None,1.05730629603e-44,8.42697973397e-43,4.09785322684e-55
186,2542,6.46050077026e-06,directed,None,None,1.42860529876e-49,1.39927922643e-45,3.14498806981e-47
137,247,0.0041667038473,directed,None,None,2.83136178912e-51,9.16602766689e-40,2.9250644961e-43
658,966,0.000966074143021,directed,None,None,5.66748424253e-44,1.01701283488e-39,4.87812213351e-46
445,101,0.0406630799453,directed,None,None,-3.15252366629e-42,2.12341959445e-48,1.26226418546e-48
855,189,0.138467005917,directed,None,None,-1.53393793256e-41,1.03569510386e-46,1.53643899124e-47
