Id,Label,Energy,Community,pi,mr,qf,qb,t,s,evec
1,1,None,6,2.97376136817e-26,9.44297576758e-14,0.999999998964,1.0359879135e-09,None,None,0.0
2,2,None,3,3.13530274824e-25,1.22324754537e-15,0.999999999999,1.27287805209e-12,None,None,0.0
3,3,None,6,2.40557563195e-26,7.63880413558e-14,0.999999998964,1.03599649837e-09,None,None,0.0
4,4,None,3,7.53868873314e-20,2.69008965397e-18,1.0,1.16418733542e-20,None,None,0.0
5,5,None,3,3.14304800413e-23,9.98038227003e-11,0.999999998964,1.0359721744e-09,None,None,0.0
6,6,None,4,6.06492541436e-19,1.4102079849e-17,1.0,7.58594401743e-21,None,None,0.0
7,7,None,0,1.72171718985e-29,1.30128757806e-16,2.46583150965e-09,0.999999997534,None,None,0.0
8,8,None,3,4.77102132253e-26,1.51498926546e-13,0.999999998964,1.03597703162e-09,None,None,0.0
9,9,None,1,1.0136782609e-29,4.88484069496e-09,0.804601418507,0.195398581493,None,None,0.0
10,10,None,6,3.66986693781e-26,1.16534358562e-13,0.999999998964,1.03599008959e-09,None,None,0.0
11,11,None,4,2.99327910794e-19,7.00207160642e-18,1.0,7.6318752285e-21,None,None,0.0
12,12,None,1,7.35260201017e-31,3.54316462018e-10,0.804601418581,0.195398581419,None,None,0.0
13,13,None,0,1.52028755654e-31,1.14589286178e-18,2.45906609879e-09,0.999999997541,None,None,0.0
14,14,None,3,4.18522079531e-26,1.32897397113e-13,0.999999998964,1.03597679877e-09,None,None,0.0
15,15,None,3,4.28830169213e-24,1.36170019669e-11,0.999999998964,1.03597219081e-09,None,None,0.0
16,16,None,6,1.07774576852e-30,3.4223309203e-18,0.999999998964,1.03599486658e-09,None,None,0.0
17,17,None,3,2.96532684284e-24,2.58444546442e-19,1.0,2.84345743652e-17,None,None,0.0
18,18,None,4,1.47785454559e-17,5.32621397523e-16,1.0,1.17581459425e-20,None,None,0.0
19,19,None,5,4.39819601452e-21,1.57926621773e-19,1.0,1.17147410484e-20,None,None,0.0
20,20,None,0,3.11900856388e-22,3.10436680334e-09,3.24719517622e-09,0.999999996753,None,None,0.0
21,21,None,6,7.14338317891e-26,2.26834433723e-13,0.999999998964,1.0359933402e-09,None,None,0.0
22,22,None,7,4.94004876941e-09,4.41219920765e-18,2.91390778798e-31,1.0,None,None,0.0
23,23,None,3,4.5086671271e-26,1.43168153894e-13,0.999999998964,1.03597716058e-09,None,None,0.0
24,24,None,0,9.27626389021e-30,7.01067683622e-17,2.46569175438e-09,0.999999997534,None,None,0.0
25,25,None,0,4.03733575978e-32,3.04720162805e-19,2.46239801625e-09,0.999999997538,None,None,0.0
26,26,None,4,5.75347966249e-26,2.07637976809e-24,1.0,1.17741112376e-20,None,None,0.0
27,27,None,0,3.31829500941e-28,1.92205662101e-15,1.88974459758e-09,0.99999999811,None,None,0.0
28,28,None,0,2.16279343748e-32,2.04268224287e-19,3.08132636597e-09,0.999999996919,None,None,0.0
29,29,None,3,7.04843393419e-26,5.01905332099e-21,1.0,2.3231706076e-17,None,None,0.0
30,30,None,3,6.13189146047e-26,3.57494737755e-21,1.0,1.90207274642e-17,None,None,0.0
31,31,None,4,1.19620902632e-19,4.31115853201e-18,1.0,1.17581459425e-20,None,None,0.0
32,32,None,4,3.21384804557e-20,1.15122818554e-18,1.0,1.16865952542e-20,None,None,0.0
33,33,None,6,2.8263744302e-26,8.97494824108e-14,0.999999998964,1.03598671431e-09,None,None,0.0
34,34,None,7,3.96498092039e-15,4.50422929823e-23,3.70622104397e-30,1.0,None,None,0.0
35,35,None,0,5.988551909e-27,4.49812596283e-14,2.45053959434e-09,0.999999997549,None,None,0.0
36,36,None,5,1.26992358231e-25,1.03808669547e-22,1.0,2.66690757684e-19,None,None,0.0
37,37,None,7,1.90421094539e-26,2.14062605288e-34,3.66756380408e-30,1.0,None,None,0.0
38,38,None,3,4.73370267999e-28,1.50313354578e-15,0.999999998964,1.03597319649e-09,None,None,0.0
39,39,None,7,1.50802374734e-16,1.65750251143e-24,3.58589808962e-30,1.0,None,None,0.0
40,40,None,3,4.01681530052e-20,1.41808297723e-18,1.0,1.15178577205e-20,None,None,0.0
41,41,None,3,1.92403176326e-23,6.10953986304e-11,0.999999998964,1.03597242126e-09,None,None,0.0
42,42,None,1,8.85765518912e-28,4.26843864368e-07,0.804601418022,0.195398581978,None,None,0.0
43,43,None,1,4.85528208922e-34,2.33972487331e-13,0.804601387269,0.195398612731,None,None,0.0
